NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-REA,2020-03-17,AUD,82.39,46473629.0,2020-12-25,110.48,34.09,30.0,2020-06-23,110.48,9442432.0,-,CLOSED,34.09,102.0,30.0,100.0
-,ASX-REA,2020-03-20,AUD,75.69,50461402.0,2020-12-28,101.5,34.1,30.0,2020-05-26,101.5,9442432.0,-,CLOSED,34.1,151.0,20.0,100.0
-,ASX-REA,2020-03-20,AUD,75.69,50461402.0,2020-12-11,104.57,38.16,36.0,2020-06-03,104.57,30276236.0,-,CLOSED,38.16,150.0,24.0,100.0
-,ASX-REA,2020-03-20,AUD,75.69,50461402.0,2021-01-21,106.45,40.64,33.0,2020-06-04,106.45,47798109.0,-,CLOSED,40.64,158.0,21.0,100.0
-,ASX-REA,2020-03-20,AUD,75.69,50461402.0,2020-11-24,106.63,40.88,41.0,2020-06-04,106.63,19781232.0,-,CLOSED,40.88,158.0,26.0,100.0
-,ASX-REA,2020-03-24,AUD,67.5,48949994.0,2020-11-28,95.09,40.87,41.0,2020-05-08,95.09,10553903.0,-,CLOSED,40.87,271.0,15.0,100.0
-,ASX-REA,2020-03-24,AUD,67.5,48949994.0,2021-01-25,94.93,40.64,33.0,2020-05-08,94.93,15346134.0,-,CLOSED,40.64,270.0,12.0,100.0
-,ASX-REA,2020-03-24,AUD,67.5,48949994.0,2020-12-15,93.26,38.16,36.0,2020-05-08,93.26,22492724.0,-,CLOSED,38.16,253.0,14.0,100.0
-,ASX-REA,2020-03-24,AUD,67.5,48949994.0,2021-01-01,90.52,34.1,30.0,2020-05-08,90.52,16139624.0,-,CLOSED,34.1,226.0,13.0,100.0
-,ASX-REA,2020-03-24,AUD,67.5,48949994.0,2021-01-24,92.47,36.99,30.0,2020-05-08,92.47,40446796.0,-,CLOSED,36.99,245.0,12.0,100.0
-,ASX-REA,2020-03-24,AUD,67.5,48949994.0,2020-11-07,92.07,36.4,40.0,2020-05-08,92.07,37242370.0,-,CLOSED,36.4,241.0,17.0,100.0
-,ASX-REA,2020-03-25,AUD,69.0,51000813.0,2020-11-29,97.21,40.88,41.0,2020-05-21,97.21,10553903.0,-,CLOSED,40.88,210.0,20.0,100.0
